Date,type,ticket_id,agent name,created time,end time,csat score,COR,main category,sub category,resolution time,First Response Time (min),SLA Met,Issue Severity,Escalated,User Type
2025-08-04,chat,300001,Yousef,21:02,22:18,5,PK,Trading,Price Discrepancy,76 min,35,Yes,Low,No,VIP
2025-07-31,email,300002,Nour,10:40,11:49,5,MY,Deposit,Tag/Memo Missing,69 min,33,Yes,Low,No,Retail
2025-02-01,chat,300003,Lina,09:16,11:51,4,TR,Referral,Referral Code Not Applied,155 min,17,Yes,Medium,No,VIP
2025-05-24,chat,300004,Aya,15:20,17:22,4,PK,Referral,Tier Upgrade Issue,122 min,10,Yes,Medium,No,Retail
2025-07-21,chat,300005,Omar,23:33,23:39,4,BH,P2P,Appeal Order,6 min,2,Yes,High,Yes,Retail
2025-04-18,chat,300006,Sara,09:55,13:54,3,SA,Referral,Referral Code Not Applied,239 min,10,Yes,High,No,Retail
2025-04-26,chat,300007,Aya,20:15,21:43,4,ID,Security Setting,Anti?Phishing Code,88 min,32,Yes,Medium,No,Retail
2025-08-01,chat,300008,Aya,20:08,22:41,1,BH,Futures,Liquidation Dispute,153 min,11,No,High,Yes,Retail
2025-05-17,chat,300009,Amin,18:15,21:04,4,TR,Security Setting,2FA Disabled,169 min,23,Yes,High,Yes,Retail
2025-08-03,email,300010,Yousef,05:20,07:05,5,DE,Deposit,Internal Transfer Pending,105 min,12,Yes,Low,No,VIP
2025-10-06,chat,300011,Mohannad,11:04,12:51,2,SA,Trading,Price Discrepancy,107 min,25,Yes,Low,No,VIP
2025-03-26,chat,300012,Fatima,20:35,23:16,5,BH,Trading,Price Discrepancy,161 min,4,Yes,Low,No,Retail
2025-03-25,chat,300013,Nour,16:42,18:25,4,KW,Verification,Source of Funds,103 min,30,No,Medium,No,Retail
2025-09-08,email,300014,Mohannad,17:06,17:37,4,SA,Verification,Level 1 KYC,31 min,30,Yes,Medium,Yes,Retail
2025-05-06,email,300015,Fatima,06:25,08:55,4,PK,Futures,PNL Not Updated,150 min,37,Yes,High,No,Retail
2025-07-23,chat,300016,Nour,19:53,23:17,2,QA,Referral,Missing Referral Bonus,204 min,40,Yes,Medium,No,Retail
2025-12-17,email,300017,Khalid,18:15,18:28,4,AE,Deposit,Internal Transfer Pending,13 min,5,No,High,No,Institutional
2025-11-28,chat,300018,Lina,17:10,19:59,4,UK,Security Setting,2FA Reset,169 min,40,Yes,Medium,No,Retail
2025-06-06,chat,300019,Mohannad,17:40,19:50,4,IN,P2P,Payment Dispute,130 min,41,Yes,High,Yes,Retail
2025-02-04,chat,300020,Omar,21:45,21:51,4,SA,Security Setting,Change Password,6 min,4,Yes,Medium,No,Retail
2025-09-29,email,300021,Amin,00:22,01:52,4,IN,Verification,Level 2 KYC,90 min,49,No,Urgent,Yes,Retail
2025-07-05,chat,300022,Omar,19:34,22:28,4,IN,P2P,Payment Dispute,174 min,20,Yes,Low,No,Retail
2025-08-08,chat,300023,Nour,15:34,19:04,4,AE,Withdrawal,Rejected by Bank,210 min,58,Yes,Low,No,VIP
2025-03-18,chat,300024,Amin,20:05,21:21,1,PK,Futures,PNL Not Updated,76 min,9,Yes,Medium,No,Retail
2025-04-19,chat,300025,Khalid,06:06,09:05,4,ID,Security Setting,Change Password,179 min,46,Yes,Medium,No,Retail
2025-09-04,chat,300026,Omar,11:23,13:59,4,ID,Security Setting,Change Password,156 min,60,Yes,Medium,No,Retail
2025-06-08,chat,300027,Sara,13:38,15:02,2,AE,Spot,Unable to Sell,84 min,15,No,High,No,Retail
2025-01-15,chat,300028,Amin,21:58,22:04,2,IN,Security Setting,Anti?Phishing Code,6 min,2,No,High,Yes,VIP
2025-01-16,email,300029,Yousef,22:29,23:55,4,IN,Card,ATM Withdrawal Failed,86 min,59,Yes,Low,No,Retail
2025-07-02,email,300030,Yousef,09:31,13:20,2,UK,P2P,Appeal Order,229 min,23,No,Medium,No,VIP
2025-07-24,chat,300031,Aya,20:13,23:53,5,KW,Referral,Referral Code Not Applied,220 min,35,Yes,Medium,No,Retail
2025-09-11,chat,300032,Lina,01:44,05:24,5,TR,Spot,Insufficient Balance,220 min,9,Yes,Low,No,Retail
2025-04-12,email,300033,Mohannad,16:46,17:09,5,EG,Verification,ID Mismatch,23 min,18,Yes,Low,No,Retail
2025-02-28,email,300034,Amin,17:03,20:47,2,MY,Deposit,Internal Transfer Pending,224 min,6,No,Medium,No,Retail
2025-04-22,chat,300035,Sara,06:51,06:57,5,SA,Deposit,Tag/Memo Missing,6 min,6,No,Low,No,Retail
2025-03-10,chat,300036,Khalid,04:02,06:55,4,AE,Futures,Liquidation Dispute,173 min,2,Yes,Low,No,Retail
2025-03-05,chat,300037,Aya,17:39,18:18,4,QA,Referral,Missing Referral Bonus,39 min,39,Yes,Medium,Yes,Retail
2025-10-27,chat,300038,Omar,22:09,22:58,5,EG,Spot,Unable to Sell,49 min,20,Yes,Low,No,VIP
2025-04-26,email,300039,Yousef,03:34,03:51,1,PK,P2P,Payment Not Received,17 min,2,Yes,Low,No,Institutional
2025-03-01,email,300040,Sara,16:24,18:24,4,BH,Withdrawal,Exceeded Limit,120 min,23,Yes,Medium,No,Retail
2025-07-28,chat,300041,Lina,20:47,21:46,4,MY,Security Setting,2FA Reset,59 min,7,Yes,High,No,VIP
2025-10-21,email,300042,Sara,05:09,09:02,4,IN,Card,Cashback Missing,233 min,24,Yes,Medium,No,Retail
2025-11-26,email,300043,Yousef,19:06,19:17,5,PK,Referral,Missing Referral Bonus,11 min,8,Yes,High,No,Retail
2025-12-05,chat,300044,Sara,10:28,11:30,5,MY,Withdrawal,Bank Delay,62 min,1,Yes,High,No,Retail
2025-11-23,chat,300045,Lina,03:58,06:13,4,DE,Referral,Missing Referral Bonus,135 min,41,Yes,High,No,Retail
2025-06-05,chat,300046,Nour,11:37,12:17,4,QA,Security Setting,Login Alerts,40 min,39,Yes,Low,No,Retail
2025-04-12,chat,300047,Sara,14:01,17:41,2,QA,Withdrawal,Exceeded Limit,220 min,30,No,High,No,Retail
2025-04-20,chat,300048,Khalid,13:26,14:41,4,DE,P2P,Wrong Amount Sent,75 min,35,Yes,Medium,No,Retail
2025-02-18,chat,300049,Amin,07:38,10:54,5,KW,Withdrawal,Rejected by Bank,196 min,51,No,Urgent,No,Retail
2025-05-04,chat,300050,Mohannad,02:38,02:55,5,EG,P2P,Order Stuck,17 min,4,Yes,Medium,No,Retail
2025-07-13,chat,300051,Fatima,13:46,17:06,3,EG,Referral,Missing Referral Bonus,200 min,18,No,Low,No,Retail
2025-09-02,chat,300052,Omar,00:38,04:13,3,DE,Verification,Source of Funds,215 min,58,Yes,Medium,No,Retail
2025-08-08,email,300053,Fatima,06:47,10:37,5,TR,Trading,Order Rejected,230 min,21,Yes,High,No,Retail
2025-12-13,email,300054,Aya,13:46,14:58,4,SA,Verification,ID Mismatch,72 min,46,No,High,Yes,Retail
2025-08-22,chat,300055,Amin,21:37,23:48,4,IN,Referral,Tier Upgrade Issue,131 min,36,Yes,Low,No,Retail
2025-08-05,chat,300056,Amin,14:55,18:14,1,UK,Withdrawal,On?chain Pending,199 min,39,No,Low,No,Retail
2025-02-17,chat,300057,Fatima,01:12,01:31,4,BH,P2P,Payment Dispute,19 min,2,Yes,Medium,No,Retail
2025-05-01,chat,300058,Nour,14:35,16:50,2,PK,Withdrawal,Rejected by Bank,135 min,19,Yes,Medium,No,Internal
